Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
3M Company,MMM,Industrial Conglomerates,-0.083992,50964571770.0,2024694.0,-10.83
"51job, Inc",JOBS,Human Resource & Employment Services,0.776978,,,
A. O. Smith Corporation,AOS,Building Products,0.25117,12564573309.0,552008.0,29.49
"AAON, Inc",AAON,Building Products,0.739143,,,-10.51
AAR Corp,AIR,Aerospace & Defense,0.5888,2186557896.0,174582.0,12.26
AB SKF (publ),SKFRY,Industrial Machinery,0.558562,,,
AB Volvo (publ),VLVLY,Construction Machinery & Heavy Trucks,0.387392,,,
ABB Ltd,ABB,Electrical Components & Equipment,0.443865,,,
ABM Industries Incorporated,ABM,Environmental & Facilities Services,0.482884,2705078026.0,149678.0,-1.57
ACCO Brands Corporation,ACCO,Office Services & Supplies,0.600923,473217675.0,346766.0,0.87
ADT Inc,ADT,Security & Alarm Services,0.391786,5902814432.0,1412330.0,-6.32
AECOM,ACM,Construction & Engineering,-0.276441,12931672626.0,171914.0,15.03
AGC Inc,ASGLF,Building Products,0.211196,,,
AGCO Corporation,AGCO,Agricultural & Farm Machinery,0.483786,9299625637.0,345204.0,-2.76
AMERCO,UHAL,Trucking,0.28355,12599964569.0,39054.0,
"AMETEK, Inc",AME,Electrical Components & Equipment,0.786728,41591523807.0,634221.0,29.47
AMREP Corporation,AXR,Diversified Support Services,0.3612,114387405.0,1431.0,45.56
ANA Holdings Inc,ALNPF,Airlines,0.011523,,,
"ARC Document Solutions, Inc",ARC,Office Services & Supplies,0.1543,112046593.0,52019.0,-15.21
"ARC Group Worldwide, Inc",ARCW,Industrial Machinery,0.0,,,0.0
ASGN Inc,ASGN,Human Resource & Employment Services,0.320767,4421685000.0,101662.0,22.82
ATIF Holdings Ltd,ATIF,,0.263237,,,-52.48
AZZ Inc,AZZ,Heavy Electrical Equipment,-0.295899,1954867479.0,66036.0,97.89
Aalberts N.V,AALBF,Industrial Machinery,0.9289,,,
Ability Inc,ABIL,Aerospace & Defense,0.597772,,,
Acacia Research Corporation,ACTG,Research & Consulting Services,0.797194,,,
Acme United Corporation,ACU,Office Services & Supplies,0.0,,,60.67
"Acuity Brands, Inc",AYI,Electrical Components & Equipment,0.257388,8187614271.0,94200.0,65.58
"Advanced Disposal Services, Inc",ADSW,Environmental & Facilities Services,-0.449601,,,
"Advanced Drainage Systems, Inc",WMS,Building Products,0.773386,12833166342.0,208692.0,103.12
Aegion Corporation,AEGN,Construction & Engineering,-0.277476,,,
"Aena S.M.E., S.A",ANNSF,Airport Services,0.399456,,,
AerCap Holdings N.V,AER,Trading Companies & Distributors,-0.085167,17248368050.0,869239.0,50.41
AeroCentury Corp,ACY,Trading Companies & Distributors,0.0,,,
"AeroVironment, Inc",AVAV,Aerospace & Defense,-0.109386,,,
"Aerojet Rocketdyne Holdings, Inc",AJRD,Aerospace & Defense,-0.375988,,,34.42
Ageagle Aerial Systems Inc,UAVS,,-0.604683,,,70.95
Air China Limited,AICAF,Airlines,0.6808,,,
Air France-KLM SA,AFLYY,Airlines,0.0,,,
