Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent,ESG_Group,Current_Price,Market_Cap_API
3M Company,MMM,Industrial Conglomerates,-0.083992,50964571770.0,2024694.0,-10.83,Low ESG,158.32000732421875,82574532608.0
A. O. Smith Corporation,AOS,Building Products,0.25117,12564573309.0,552008.0,29.49,Medium ESG,59.08000183105469,8142915584.0
"AAON, Inc",AAON,Building Products,0.739143,,,-10.51,High ESG,127.19000244140625,10418351104.0
AAR Corp,AIR,Aerospace & Defense,0.5888,2186557896.0,174582.0,12.26,High ESG,129.00999450683594,5129988096.0
ABM Industries Incorporated,ABM,Environmental & Facilities Services,0.482884,2705078026.0,149678.0,-1.57,High ESG,45.93000030517578,2690621952.0
ACCO Brands Corporation,ACCO,Office Services & Supplies,0.600923,473217675.0,346766.0,0.87,High ESG,4.039999961853027,372721472.0
ADT Inc,ADT,Security & Alarm Services,0.391786,5902814432.0,1412330.0,-6.32,Medium ESG,6.800000190734863,5171749376.0
AECOM,ACM,Construction & Engineering,-0.276441,12931672626.0,171914.0,15.03,Low ESG,70.12000274658203,9012027392.0
AGCO Corporation,AGCO,Agricultural & Farm Machinery,0.483786,9299625637.0,345204.0,-2.76,High ESG,112.48999786376953,8145234944.0
"AMETEK, Inc",AME,Electrical Components & Equipment,0.786728,41591523807.0,634221.0,29.47,High ESG,227.1199951171875,52056584192.0
AMREP Corporation,AXR,Diversified Support Services,0.3612,114387405.0,1431.0,45.56,Medium ESG,25.420000076293945,134858160.0
"ARC Document Solutions, Inc",ARC,Office Services & Supplies,0.1543,112046593.0,52019.0,-15.21,Medium ESG,,
"ARC Group Worldwide, Inc",ARCW,Industrial Machinery,0.0,,,0.0,Low ESG,,
ASGN Inc,ASGN,Human Resource & Employment Services,0.320767,4421685000.0,101662.0,22.82,Medium ESG,21.020000457763672,833931008.0
ATIF Holdings Ltd,ATIF,,0.263237,,,-52.48,Medium ESG,,
AZZ Inc,AZZ,Heavy Electrical Equipment,-0.295899,1954867479.0,66036.0,97.89,Low ESG,150.88999938964844,4529207296.0
Acme United Corporation,ACU,Office Services & Supplies,0.0,,,60.67,Low ESG,45.54999923706055,173561856.0
"Acuity Brands, Inc",AYI,Electrical Components & Equipment,0.257388,8187614271.0,94200.0,65.58,Medium ESG,297.239990234375,9010880512.0
"Advanced Drainage Systems, Inc",WMS,Building Products,0.773386,12833166342.0,208692.0,103.12,High ESG,134.9499969482422,10336590848.0
AerCap Holdings N.V,AER,Trading Companies & Distributors,-0.085167,17248368050.0,869239.0,50.41,Low ESG,140.0,22075914240.0
"Aerojet Rocketdyne Holdings, Inc",AJRD,Aerospace & Defense,-0.375988,,,34.42,Low ESG,,
Ageagle Aerial Systems Inc,UAVS,,-0.604683,,,70.95,Low ESG,0.9300000071525574,54360548.0
Air Lease Corporation,AL,Trading Companies & Distributors,0.8591,5423681260.0,571812.0,21.47,High ESG,,
"Air Transport Services Group, Inc",ATSG,Air Freight & Logistics,0.877479,,,-38.45,High ESG,,
Alamo Group Inc,ALG,Construction Machinery & Heavy Trucks,0.687717,2590013972.0,26527.0,23.86,High ESG,153.74000549316406,1870761088.0
"Alaska Air Group, Inc",ALK,Airlines,0.375652,5297837200.0,1430567.0,-0.1,Medium ESG,47.31999969482422,5272819200.0
Albany International Corp,AIN,Industrial Machinery,0.80825,2730312000.0,70310.0,-1.15,High ESG,70.94999694824219,2011784576.0
Allegion plc,ALLE,Building Products,0.639283,11339168790.0,254026.0,26.51,High ESG,133.97000122070312,11512827904.0
"Allison Transmission Holdings, Inc",ALSN,Construction Machinery & Heavy Trucks,0.757708,7162029858.0,205516.0,78.84,High ESG,117.3499984741211,9732537344.0
"Alpha Pro Tech, Ltd",APT,Building Products,0.5198,,,53.66,High ESG,5.349999904632568,54660584.0
"Ameresco, Inc",AMRC,Construction & Engineering,0.837052,1191523088.0,252152.0,-51.82,High ESG,28.059999465942383,1485816704.0
Api Group Corp,APG,Construction & Engineering,0.0,9439007519.0,535888.0,84.15,Low ESG,42.34000015258789,18342873088.0
"Apogee Enterprises, Inc",APOG,Building Products,0.880982,,,37.67,High ESG,40.13999938964844,857029312.0
Applied Blockchain Inc,APLD,Industrial Machinery,-0.726413,,,-5.54,Low ESG,42.70000076293945,12202359808.0
"Applied Industrial Technologies, Inc",AIT,Trading Companies & Distributors,0.714633,7461659966.0,110214.0,41.88,High ESG,320.1099853515625,11831117824.0
Applied UV Inc,AUVI,Building Products,0.321987,,,-10.76,Medium ESG,0.0003000000142492354,1402.0
"Aqua Metals, Inc",AQMS,Environmental & Facilities Services,0.23266,,,-50.82,Medium ESG,2.75,9245516.0
Archer Aviation Inc,ACHR,Aerospace & Defense,-0.816738,1298202605.0,2828171.0,66.53,Low ESG,5.079999923706055,3875353600.0
Arconic Corp,ARNC,Aerospace & Defense,0.564755,,,9.8,High ESG,,
Arcosa Inc,ACA,Construction & Engineering,0.382989,3912177196.0,63725.0,34.62,Medium ESG,129.50999450683594,6358469632.0
"Argan, Inc",AGX,Construction & Engineering,0.439787,655597729.0,31054.0,32.35,High ESG,641.6799926757812,8995870720.0
"Armstrong World Industries, Inc",AWI,Building Products,0.787446,5175078377.0,178094.0,69.48,High ESG,154.2100067138672,6581503488.0
"Art's-Way Manufacturing Co., Inc",ARTW,Agricultural & Farm Machinery,0.6124,,,-22.42,High ESG,2.640000104904175,13678860.0
Asia Pacific Wire & Cable Corp Ltd,APWC,Electrical Components & Equipment,0.0,,,-1.76,Low ESG,1.3700000047683716,56488464.0
Atento SA,ATTO,Office Services & Supplies,0.0,,,-94.45,Low ESG,,
Atkore International Group Inc,ATKR,Electrical Components & Equipment,0.537627,6368266442.0,265735.0,32.84,High ESG,79.2699966430664,2676730880.0
"Atlas Air Worldwide Holdings, Inc",AAWW,Air Freight & Logistics,-0.29825,,,0.82,Low ESG,,
Atlas Corp,ATCO,Marine,0.2726,,,0.13,Medium ESG,,
Avalon Holdings Corporation,AWX,Environmental & Facilities Services,0.0,,,-16.48,Low ESG,2.4800000190734863,9670591.0
Axion Power International Inc,AXPWQ,Electrical Components & Equipment,0.0,,,-98.0,Low ESG,9.999999747378752e-05,9595.0
